gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,Log_TotalCharges,Log_MonthlyCharges,Monthly_to_Total_Ratio,total_services,streaming_services,is_auto_pay
Female,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,0-12,3.4291367503513968,3.4291367503513968,0.9675850891410048,1,0,0
Male,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,25-48,7.544596623330987,4.059580569785761,0.03012430573922243,3,0,0
Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,0-12,4.692723082995953,4.00460218672124,0.4933577645442052,3,0,0
Male,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,25-48,7.518471485562923,3.768152635008444,0.022967286548119994,3,0,1
Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,0-12,5.028147719180887,4.272490747605575,0.46315099901735995,1,0,0
Female,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,0-12,6.711131937477322,4.611649152085801,0.12130249543517956,5,2,0
Male,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,13-24,7.575789758727007,4.500920164614292,0.04568293683347005,4,1,1
Female,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,0-12,5.713402718033191,3.4258899942525267,0.09821723341036646,1,0,0
Female,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,25-48,8.02192918843427,4.661550519424199,0.03439392199012159,6,2,0
Male,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,49-72,8.15735611033029,4.04567939024082,0.01609366714914229,3,0,1
Male,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,13-24,6.377491961323671,3.9308447596687337,0.0848840173336732,2,0,0
Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,13-24,5.792403666309729,2.9932291433358724,0.05780964002440512,1,0,1
